상호명,출처,종류,x,y
대전올림픽기념국민생활관 헬스피트니스,인허가,헬스장,988649,1817478
굿라이프휘트니스,인허가,헬스장,990027,1816648
엔피티,인허가,헬스장,990472,1816723
제이엠 휘트니스,인허가,헬스장,990559,1815955
머슬앤라인PT,인허가,헬스장,988942,1815962
궁 짐,인허가,헬스장,985341,1811807
다듬체 선수트레이닝,인허가,헬스장,988946,1816897
커브스갈마클럽,인허가,헬스장,988053,1816209
에이블짐(ABLEGYM),인허가,헬스장,990375,1815666
BM Fit 탄방점,인허가,헬스장,990555,1816569
힐링 휘트니스,인허가,헬스장,986266,1812341
엠휘트니스 용문,인허가,헬스장,990143,1815793
필립휘트니스,인허가,헬스장,988987,1818020
헬스보이짐&필라걸 도안점,인허가,헬스장,986611,1811974
힐라리움,인허가,헬스장,989067,1816752
삼성바른움직임 트레이닝센터,인허가,헬스장,990941,1817076
함께 선수 & 퍼스널 트레이닝,인허가,헬스장,989963,1817961
짐식스(둔산점),인허가,헬스장,988758,1817190
파프리카짐,인허가,헬스장,988394,1814296
다이어트클럽,인허가,헬스장,990040,1815801
철이 GYM,인허가,헬스장,985274,1811903
디와이엘(DYL) 피트니스,인허가,헬스장,989288,1817496
휴 휘트니스,인허가,헬스장,990024,1815118
리본PT스튜디오,인허가,헬스장,990116,1816788
투모어휘트니스 월평6호점,인허가,헬스장,989043,1818011
대유척추자세교정운동센터,인허가,헬스장,990012,1816283
마스터짐 대전점,인허가,헬스장,989518,1814970
투모어휘트니스,인허가,헬스장,985740,1812234
파프리카짐 (갈마/내동점),인허가,헬스장,988008,1815836
네츄럴 바디 휘트니스,인허가,헬스장,989431,1815128
센트럴 휘트니스,인허가,헬스장,989093,1818258
헬스타운,인허가,헬스장,988819,1812249
맵시나헬스클럽,인허가,헬스장,990117,1816961
VIP헬스,인허가,헬스장,990118,1817282
휘트니스랜드헬스,인허가,헬스장,988955,1818377
제이엔제이헬스,인허가,헬스장,990089,1815921
가수원크레피아헬스,인허가,헬스장,986993,1811961
파트너헬스클럽,인허가,헬스장,989137,1813525
알파스포츠헬스,인허가,헬스장,989977,1817137
엑스포헬스클럽,인허가,헬스장,989236,1819058
우리휘트니스,인허가,헬스장,989886,1816663
라인스포츠센타,인허가,헬스장,990349,1815688
M휘트니스,인허가,헬스장,987603,1817718
1.1헬스클럽,인허가,헬스장,990878,1817076
슈퍼맨휘트니스,인허가,헬스장,988735,1816514
뉴라이프헬스클럽,인허가,헬스장,988263,1815280
비타민휘트니스,인허가,헬스장,988948,1815942
