상호명,출처,종류,x,y
모어레스트요가,소상공,요가/필라테스,985305,1810937
움필라테스,소상공,요가/필라테스,994847,1814319
에스에이치댄스에어로빅,소상공,요가/필라테스,995166,1818248
요가솔필라테스,소상공,요가/필라테스,994819,1814778
니르바나,소상공,요가/필라테스,982425,1821326
모브필라테스,소상공,요가/필라테스,991575,1815474
연'S필라테스,소상공,요가/필라테스,986226,1814326
"필라테스,스테디",소상공,요가/필라테스,990198,1825421
수하필라테스,소상공,요가/필라테스,993657,1828101
아임요가&필라테스,소상공,요가/필라테스,988375,1814001
비그로우스포츠,소상공,요가/필라테스,985342,1818091
이제필라테스,소상공,요가/필라테스,989686,1814916
싸띠요가,소상공,요가/필라테스,986854,1818172
재니요가스튜디오재니다,소상공,요가/필라테스,985445,1817363
라엘필라테스,소상공,요가/필라테스,983183,1821561
아이키플러스,소상공,요가/필라테스,991378,1814221
포인트스키,소상공,요가/필라테스,990847,1813816
류토피아PT스튜디오,소상공,요가/필라테스,989321,1816535
크로스핏투헬,소상공,요가/필라테스,981759,1817003
"레인보우줄넘기,합기도",소상공,요가/필라테스,991944,1813709
크로스핏탄탄,소상공,요가/필라테스,993648,1828276
한남대주니어스FC,소상공,요가/필라테스,992827,1817575
요가솔필라테스,소상공,요가/필라테스,988460,1817076
솜필라테스,소상공,요가/필라테스,990402,1820079
유필라테스자이로토닉,소상공,요가/필라테스,986306,1814309
점프농구교실,소상공,요가/필라테스,994716,1817103
유어오브필라테스,소상공,요가/필라테스,989185,1812904
뉴스프링필라테스,소상공,요가/필라테스,982808,1818105
에스번지피지오&탄츠,소상공,요가/필라테스,990087,1816881
스미즈필라테스,소상공,요가/필라테스,984038,1810831
헤이필라테스,소상공,요가/필라테스,988954,1817954
나무별요가,소상공,요가/필라테스,990638,1819774
도담도담유소년스포츠클럽,소상공,요가/필라테스,985715,1817316
도안골프필라테스,소상공,요가/필라테스,981598,1816637
지움바디필라테스,소상공,요가/필라테스,995056,1818593
파르바티요가,소상공,요가/필라테스,985913,1813798
우리들척추운동센터,소상공,요가/필라테스,985580,1811277
랩스대전,소상공,요가/필라테스,988893,1817170
리셋필라테스,소상공,요가/필라테스,992062,1815410
그로힐필라테스,소상공,요가/필라테스,991944,1813685
나무별필라테스,소상공,요가/필라테스,990638,1819774
퍼스트짐,소상공,요가/필라테스,990392,1825394
지움바디필라테스,소상공,요가/필라테스,984929,1815681
아이엘비베이스볼센터,소상공,요가/필라테스,985131,1811511
휴먼케어필라테스평생교육원,소상공,요가/필라테스,990118,1817281
유즈필라테스평생교육원,소상공,요가/필라테스,985614,1811344
에스풋볼아카데미,소상공,요가/필라테스,988805,1817085
이루어GYM,소상공,요가/필라테스,989941,1816564
블랙쉽컴퍼니,소상공,요가/필라테스,992590,1813896
위위필라테스,소상공,요가/필라테스,986007,1817381
디-데이필라테스,소상공,요가/필라테스,985219,1814871
